0000000000000000000000000 4.38066588441 ['[\'[\\\'["[\\\\\\\'[(3.5982590254769362,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'3),\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'(3.994639264846946,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'2),\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'(3.9995311196149204,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'6),\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'(4.2366008593580391,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'5),\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'(4.5365360501227681,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'7),\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'(4.7499955085592918,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'4),\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'(4.7577631152491362,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'8),\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'(4.809433607113613,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'0.0,\\\\\\\',",\\\',\',', '\'\\\'"\\\\\\\'1)]\\\\\\\']"]\\\']\']']
0000000000000000000000000 4.38651060341 [(3.6850747554612573, 0.0, 3), (4.1152354467312158, 0.0, 4), (4.1208564512287706, 0.0, 8), (4.3367259401363896, 0.0, 1), (4.4289345137812086, 0.0, 2), (4.6595255084982279, 0.0, 6), (4.6946701429022877, 0.0, 7), (4.9894776942899162, 0.0, 5)]
0000000000000000000000000 4.42169315576 [(3.7206822942715401, 0.0, 4), (4.1605459114696215, 0.0, 5), (4.2590296280522084, 0.0, 8), (4.3133576905450077, 0.0, 2), (4.442169165441646, 0.0, 1), (4.6722161390167676, 0.0, 6), (4.767788236373427, 0.0, 3), (4.8979984956493334, 0.0, 7)]
0000000000000000000000000 4.44364749628 ['[\'["[\\\'[(3.4922300887866924,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'3),\\\',",\',', '\'"\\\'(3.733287303935743,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'5),\\\',",\',', '\'"\\\'(4.2291152821540914,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'1),\\\',",\',', '\'"\\\'(4.3070631906023937,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'2),\\\',",\',', '\'"\\\'(4.588000339822349,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'4),\\\',",\',', '\'"\\\'(4.6504111725411992,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'8),\\\',",\',', '\'"\\\'(4.7623488363866207,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'6),\\\',",\',', '\'"\\\'(4.8645119986790135,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'7)]\\\']"]\']']
0000000000000000000000000 4.46280389857 ['[(3.9872875137038566,', '0.0,', '5),', '(3.9999932580041389,', '0.0,', '3),', '(4.0006580761033579,', '0.0,', '6),', '(4.2878664424566226,', '0.0,', '7),', '(4.7016005637802722,', '0.0,', '8),', '(4.8610905119516135,', '0.0,', '2),', '(4.8773311398484624,', '0.0,', '1),', '(4.9031119853301535,', '0.0,', '4)]']
0000000000000000000000000 4.46378346863 [(3.6198544053807193, 0.0, 5), (4.1431285023441244, 0.0, 3), (4.1663581910095084, 0.0, 4), (4.4105632664077019, 0.0, 1), (4.5444104925906013, 0.0, 2), (4.733801924518958, 0.0, 8), (4.8015332515922502, 0.0, 7), (4.8583717372821216, 0.0, 6)]
0000000000000000000000000 4.51857852951 [(3.5473092293148936, 0.0, 4), (4.2070037460013046, 0.0, 2), (4.2103172203761234, 0.0, 5), (4.5281900647027946, 0.0, 1), (4.6411567191258714, 0.0, 3), (4.6946501138487573, 0.0, 6), (4.7234166821620285, 0.0, 8), (4.9023497357861325, 0.0, 7)]
0000000000000000000000000 4.52980230221 ['[(3.0133521224567654,', '0.0,', '6),', '(4.2065135761678025,', '0.0,', '2),', '(4.227819496015659,', '0.0,', '8),', '(4.5970007420643659,', '0.0,', '5),', '(4.6220597155962251,', '0.0,', '1),', '(4.6723292551688678,', '0.0,', '3),', '(4.7158796172063147,', '0.0,', '4),', '(4.8438285301221526,', '0.0,', '7)]']
0000000000000000000000000 4.63389732346 ["['[(3.7351642472002924,',", "'0.0,',", "'8),',", "'(4.1128037051468,',", "'0.0,',", "'7),',", "'(4.3016798764603612,',", "'0.0,',", "'4),',", "'(4.6838675832960623,',", "'0.0,',", "'5),',", "'(4.7035762501668117,',", "'0.0,',", "'1),',", "'(4.8464655839053323,',", "'0.0,',", "'6),',", "'(4.8844206910325871,',", "'0.0,',", "'2),',", "'(4.9891879841750342,',", "'0.0,',", "'3)]']"]
0000000000000000000000000 4.65105370107 ["['[(3.3167230756205006,',", "'0.0,',", "'7),',", "'(3.6383558662223781,',", "'0.0,',", "'4),',", "'(4.2174325218322597,',", "'0.0,',", "'1),',", "'(4.7235147627619538,',", "'0.0,',", "'2),',", "'(4.8227957840533682,',", "'0.0,',", "'3),',", "'(4.8404717356405271,',", "'0.0,',", "'8),',", "'(4.8516728286711706,',", "'0.0,',", "'6),',", "'(4.8817397174950985,',", "'0.0,',", "'5)]']"]
0000000000000000000000000 4.73355446347 [(3.8285815160125192, 0.0, 3), (4.4262357901205069, 0.0, 5), (4.7099821420660657, 0.0, 1), (4.7265603127744384, 0.0, 4), (4.7464212368969978, 0.0, 2), (4.7512541621431108, 0.0, 8), (4.8844944293271704, 0.0, 7), (4.8856984608754308, 0.0, 6)]
