0000000000000000000100001 1.63624972619 [(1.3814243370357588, 1.0, 7), (1.5193934289097704, 1.0, 2), (1.6121883465351128, 1.0, 4), (1.6195138450647766, 1.0, 1), (1.62143091115112, 1.0, 5), (1.6918658019974493, 1.0, 3), (1.7395137704638204, 1.0, 8), (1.803119031414401, 1.0, 6)]
0000100100000000000100001 3.2232032263 [(3.1899316400973148, 0.0, 1), (3.1988373898673426, 0.0, 5), (3.2045451803788931, 0.0, 2), (3.2187645595797636, 0.0, 4), (3.2308291545301864, 0.0, 8), (3.2386740107089373, 0.0, 6), (3.2423673451650274, 0.0, 7), (3.2423703796388987, 0.0, 3)]
0001001000000000101100001 5.44717648928 ['[(5.4471764892810244,', '0.0,', '1),', '(5.4471764892810244,', '0.0,', '2),', '(5.4471764892810244,', '0.0,', '3),', '(5.4471764892810244,', '0.0,', '4),', '(5.4471764892810244,', '0.0,', '5),', '(5.4471764892810244,', '0.0,', '6),', '(5.4471764892810244,', '0.0,', '7),', '(5.4471764892810244,', '0.0,', '8)]']
0001101100000000111100001 7.70843137839 ["['[(7.7084313783862548,',", "'0.0,',", "'1),',", "'(7.7084313783862548,',", "'0.0,',", "'2),',", "'(7.7084313783862548,',", "'0.0,',", "'3),',", "'(7.7084313783862548,',", "'0.0,',", "'4),',", "'(7.7084313783862548,',", "'0.0,',", "'5),',", "'(7.7084313783862548,',", "'0.0,',", "'6),',", "'(7.7084313783862548,',", "'0.0,',", "'7),',", "'(7.7084313783862548,',", "'0.0,',", "'8)]']"]
0001101100000000111100001 7.70843137839 ['["[\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'1)\',",', '"\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'2)\',",', '"\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'3)\',",', '"\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'4)\',",', '"\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'5)\',",', '"\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'6)\',",', '"\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'7)\',",', '"\'(7.7084313783862548,\',",', '"\'0.0,\',",', '"\'8)\']"]']
1000001100001101110001101 8.49636824319 ['["[\'(8.2877852324605108,\',",', '"\'0.0,\',",', '"\'4)\',",', '"\'(8.4068889115082523,\',",', '"\'0.0,\',",', '"\'5)\',",', '"\'(8.4480370283524948,\',",', '"\'0.0,\',",', '"\'1)\',",', '"\'(8.5084100986414466,\',",', '"\'0.0,\',",', '"\'7)\',",', '"\'(8.5139086261593242,\',",', '"\'0.0,\',",', '"\'8)\',",', '"\'(8.5151172195951936,\',",', '"\'0.0,\',",', '"\'6)\',",', '"\'(8.5152189741151467,\',",', '"\'0.0,\',",', '"\'3)\',",', '"\'(8.5184448296661834,\',",', '"\'0.0,\',",', '"\'2)\']"]']
0001101100000001110001101 8.75278080791 [(8.7527808079094527, 0.0, 1), (8.7527808079094527, 0.0, 2), (8.7527808079094527, 0.0, 3), (8.7527808079094527, 0.0, 4), (8.7527808079094527, 0.0, 5), (8.7527808079094527, 0.0, 6), (8.7527808079094527, 0.0, 7), (8.7527808079094527, 0.0, 8)]
0011010001000000111100001 8.99544118674 ['[(8.9954411867366133,', '0.0,', '1),', '(8.9954411867366133,', '0.0,', '2),', '(8.9954411867366133,', '0.0,', '3),', '(8.9954411867366133,', '0.0,', '4),', '(8.9954411867366133,', '0.0,', '5),', '(8.9954411867366133,', '0.0,', '6),', '(8.9954411867366133,', '0.0,', '7),', '(8.9954411867366133,', '0.0,', '8)]']
0000100000010100000010101 9.24377560698 [(1.2761164707151598, 1.0, 5), (1.5528615542460353, 1.0, 8), (1.8721049073353577, 1.0, 3), (11.550283861295872, 0.0, 7), (11.76670605201784, 0.0, 1), (11.786007607284215, 0.0, 4), (11.918555687524574, 0.0, 2), (11.92146664451089, 0.0, 6)]
0000000000001101000001100 9.25069263652 ["['[(7.3977762854116778,',", "'0.0,',", "'4),',", "'(8.5229567525969756,',", "'0.0,',", "'5),',", "'(9.2041863924607323,',", "'0.0,',", "'7),',", "'(9.2105330156394949,',", "'0.0,',", "'2),',", "'(9.2344695145572633,',", "'0.0,',", "'1),',", "'(9.3535816234130884,',", "'0.0,',", "'6),',", "'(9.7537663090263287,',", "'0.0,',", "'3),',", "'(9.957497298590205,',", "'0.0,',", "'8)]']"]
1010100001010000000010101 10.3511384692 [(9.1613305733067243, 0.0, 2), (9.3478154600531767, 0.0, 8), (9.7498516330299871, 0.0, 5), (10.095801733832147, 0.0, 6), (10.53452411670709, 0.0, 4), (11.024376393174805, 0.0, 7), (11.300098909063459, 0.0, 3), (11.681666926109708, 0.0, 1)]
