0000000000000001110011000 0.756315029906 [(0.7523050784859624, 1.0, 7), (0.75318327122659023, 1.0, 4), (0.75503462005107136, 1.0, 2), (0.75674183319143784, 1.0, 1), (0.75674183319143784, 1.0, 3), (0.75674183319143784, 1.0, 5), (0.75674183319143784, 1.0, 6), (0.75674183319143784, 1.0, 8)]
0001000000000000010010011 2.05426587052 ["['[(2.0120569915859523,',", "'0.0,',", "'7),',", "'(2.021193253272771,',", "'0.0,',", "'4),',", "'(2.0303807167154915,',", "'0.0,',", "'6),',", "'(2.0395375017699231,',", "'0.0,',", "'5),',", "'(2.0492497220652539,',", "'0.0,',", "'8),',", "'(2.0978955415248124,',", "'0.0,',", "'3),',", "'(2.10538600102235,',", "'0.0,',", "'1),',", "'(2.1268690199783622,',", "'0.0,',", "'2)]']"]
0010000000000000010110000 3.55853190804 [(3.3967648523471627, 0.0, 7), (3.4959043071112883, 0.0, 4), (3.4980368979468719, 0.0, 1), (3.5104059706528603, 0.0, 2), (3.5703131918752717, 0.0, 5), (3.6553715716864779, 0.0, 3), (3.6732707698017806, 0.0, 8), (3.700640383057987, 0.0, 6)]
0001001000000000010001001 5.35554682048 ['[(5.3555468204753804,', '0.0,', '1),', '(5.3555468204753804,', '0.0,', '2),', '(5.3555468204753804,', '0.0,', '3),', '(5.3555468204753804,', '0.0,', '4),', '(5.3555468204753804,', '0.0,', '5),', '(5.3555468204753804,', '0.0,', '6),', '(5.3555468204753804,', '0.0,', '7),', '(5.3555468204753804,', '0.0,', '8)]']
0010000010001001110111000 5.71816894232 [(5.55864193304431, 0.0, 6), (5.6421749466931717, 0.0, 2), (5.6424128028645608, 0.0, 8), (5.7094666478453657, 0.0, 3), (5.7116307546749967, 0.0, 1), (5.8091655638921011, 0.0, 7), (5.8280046331101758, 0.0, 4), (5.8564296592502663, 0.0, 5)]
0010000010001001110111000 5.73192893948 [(5.5587435984035682, 0.0, 4), (5.6333566504367338, 0.0, 1), (5.6762562827886738, 0.0, 6), (5.7081025788964848, 0.0, 3), (5.7506651062359033, 0.0, 2), (5.7926917900135813, 0.0, 8), (5.8070442135342102, 0.0, 7), (5.8510112908939789, 0.0, 5)]
0010000010001001110111000 5.77534900841 ['[\'["[\\\'(5.5616916510996779,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'8)\\\',",\',', '\'"\\\'(5.6932202013954711,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'3)\\\',",\',', '\'"\\\'(5.7455674239766488,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'2)\\\',",\',', '\'"\\\'(5.7651493421925277,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'4)\\\',",\',', '\'"\\\'(5.7924451559598085,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'6)\\\',",\',', '\'"\\\'(5.7982341115283411,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'1)\\\',",\',', '\'"\\\'(5.8323109675018783,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'7)\\\',",\',', '\'"\\\'(5.8814709901002757,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'5)\\\']"]\']']
0010000010001001110111000 5.78117857777 ['[(4.746561723620065,', '0.0,', '1),', '(5.6906446109027637,', '0.0,', '6),', '(5.7236192394763101,', '0.0,', '2),', '(5.777532764294258,', '0.0,', '8),', '(5.7908528572120028,', '0.0,', '5),', '(5.8327094500928194,', '0.0,', '3),', '(5.8664328890372488,', '0.0,', '7),', '(5.8697323385090092,', '0.0,', '4)]']
0010000010001001110111000 5.78992393064 ['["[\'[(5.6459917917862779,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(5.7107694811184437,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(5.7773591177442691,\',",', '"\'0.0,\',",', '"\'5),\',",', '"\'(5.7782573728635152,\',",', '"\'0.0,\',",', '"\'1),\',",', '"\'(5.7959672515420353,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(5.8081119803999757,\',",', '"\'0.0,\',",', '"\'7),\',",', '"\'(5.8449302721603011,\',",', '"\'0.0,\',",', '"\'2),\',",', '"\'(5.8580731494271552,\',",', '"\'0.0,\',",', '"\'8)]\']"]']
0010000010001001110111000 5.82895269107 ['["[\'[(5.452032742336324,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(5.7615259114573067,\',",', '"\'0.0,\',",', '"\'8),\',",', '"\'(5.7658539293392321,\',",', '"\'0.0,\',",', '"\'7),\',",', '"\'(5.845364083524327,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(5.8517054212932011,\',",', '"\'0.0,\',",', '"\'1),\',",', '"\'(5.8528873301299145,\',",', '"\'0.0,\',",', '"\'5),\',",', '"\'(5.8623631619857326,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(5.8699153910159128,\',",', '"\'0.0,\',",', '"\'2)]\']"]']
0011001010001001110111000 8.00084699896 [(7.7363835586203855, 0.0, 7), (7.7460088576695822, 0.0, 5), (7.9850057675742772, 0.0, 1), (8.0041621859018157, 0.0, 6), (8.0067271331808563, 0.0, 2), (8.0074929091972944, 0.0, 3), (8.0076610433122077, 0.0, 4), (8.0096385654865099, 0.0, 8)]
0011100110001011011100110 9.94918228445 ['[(8.5063142087603847,', '0.0,', '1),', '(8.5520943116769121,', '0.0,', '4),', '(9.3491037535178236,', '0.0,', '7),', '(9.7319444404008753,', '0.0,', '3),', '(10.322077235248333,', '0.0,', '8),', '(10.393603708632355,', '0.0,', '5),', '(10.747294751988356,', '0.0,', '6),', '(11.068916785418482,', '0.0,', '2)]']
1100000010000110011011010 10.8634587759 ['["[\'[(10.016516221355902,\',",', '"\'0.0,\',",', '"\'8),\',",', '"\'(10.397592064921108,\',",', '"\'0.0,\',",', '"\'7),\',",', '"\'(10.711424242850491,\',",', '"\'0.0,\',",', '"\'2),\',",', '"\'(10.715518742091898,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(10.777803541287595,\',",', '"\'0.0,\',",', '"\'5),\',",', '"\'(11.249088577382407,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(11.252151218975493,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(11.390851398997025,\',",', '"\'0.0,\',",', '"\'1)]\']"]']
0011110100010000011110011 21.7684696608 ['[\'["[\\\'(20.828483170751408,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'4)\\\',",\',', '\'"\\\'(21.12883449432724,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'7)\\\',",\',', '\'"\\\'(21.692161922723979,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'1)\\\',",\',', '\'"\\\'(21.759799531037999,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'5)\\\',",\',', '\'"\\\'(21.801179420576837,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'8)\\\',",\',', '\'"\\\'(21.820737768796711,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'6)\\\',",\',', '\'"\\\'(21.820785740638822,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'2)\\\',",\',', '\'"\\\'(21.822775572836104,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'3)\\\']"]\']']
0011110100010001110111000 22.0045084304 ['[(20.821381278023448,', '0.0,', '3),', '(21.482439130290658,', '0.0,', '5),', '(21.885471859121736,', '0.0,', '4),', '(22.002654070349426,', '0.0,', '7),', '(22.063826220635072,', '0.0,', '6),', '(22.066081571477124,', '0.0,', '2),', '(22.07702706022619,', '0.0,', '8),', '(22.088320930959178,', '0.0,', '1)]']
