0000000000000000000000000 4.38066588441 ["['[(3.5982590254769362,',", "'0.0,',", "'3),',", "'(3.994639264846946,',", "'0.0,',", "'2),',", "'(3.9995311196149204,',", "'0.0,',", "'6),',", "'(4.2366008593580391,',", "'0.0,',", "'5),',", "'(4.5365360501227681,',", "'0.0,',", "'7),',", "'(4.7499955085592918,',", "'0.0,',", "'4),',", "'(4.7577631152491362,',", "'0.0,',", "'8),',", "'(4.809433607113613,',", "'0.0,',", "'1)]']"]
0000000000000000000000000 4.44364749628 ['[(3.4922300887866924,', '0.0,', '3),', '(3.733287303935743,', '0.0,', '5),', '(4.2291152821540914,', '0.0,', '1),', '(4.3070631906023937,', '0.0,', '2),', '(4.588000339822349,', '0.0,', '4),', '(4.6504111725411992,', '0.0,', '8),', '(4.7623488363866207,', '0.0,', '6),', '(4.8645119986790135,', '0.0,', '7)]']
0000000000000000000000000 4.67422855838 [(3.6302156222654998, 0.0, 3), (4.3318592616404601, 0.0, 2), (4.53106904452578, 0.0, 6), (4.554639137490649, 0.0, 1), (4.7980851405786877, 0.0, 5), (4.8131209109235895, 0.0, 8), (4.8775894346870228, 0.0, 7), (4.9891914705062392, 0.0, 4)]
0000000000000000000000000 4.83648592189 [(3.6731208353729419, 0.0, 4), (4.6138486747068921, 0.0, 8), (4.7220532465337328, 0.0, 6), (4.8367773239933163, 0.0, 3), (4.8841859063406501, 0.0, 2), (4.9029272107028623, 0.0, 5), (4.9062326106035448, 0.0, 1), (4.9892624666257488, 0.0, 7)]
1001110101000101001100000 5.40006050186 [(5.2856951445373115, 0.0, 7), (5.3204976379118021, 0.0, 3), (5.3292664889874084, 0.0, 8), (5.4069838473033487, 0.0, 2), (5.4273010852950296, 0.0, 6), (5.4366905858610624, 0.0, 1), (5.474067452758713, 0.0, 4), (5.4930484675204161, 0.0, 5)]
0000000000001000000000000 10.0017098106 ['["[\'[(8.553809728767515,\',",', '"\'0.0,\',",', '"\'8),\',",', '"\'(9.2079992686846577,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(9.7159850368447174,\',",', '"\'0.0,\',",', '"\'2),\',",', '"\'(9.8968591281300746,\',",', '"\'0.0,\',",', '"\'7),\',",', '"\'(9.9309723010074276,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(10.463022776285934,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(10.853554498627529,\',",', '"\'0.0,\',",', '"\'1),\',",', '"\'(10.922348758263823,\',",', '"\'0.0,\',",', '"\'5)]\']"]']
1001110101000101001101010 10.2890794491 ['["[\'[(10.289079449107092,\',",', '"\'0.0,\',",', '"\'1),\',",', '"\'(10.289079449107092,\',",', '"\'0.0,\',",', '"\'2),\',",', '"\'(10.289079449107092,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(10.289079449107092,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(10.289079449107092,\',",', '"\'0.0,\',",', '"\'5),\',",', '"\'(10.289079449107092,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(10.289079449107092,\',",', '"\'0.0,\',",', '"\'7),\',",', '"\'(10.289079449107092,\',",', '"\'0.0,\',",', '"\'8)]\']"]']
1010010011000010010000011 11.1118606715 ['["[\'[(11.111860671483541,\',",', '"\'0.0,\',",', '"\'1),\',",', '"\'(11.111860671483541,\',",', '"\'0.0,\',",', '"\'2),\',",', '"\'(11.111860671483541,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(11.111860671483541,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(11.111860671483541,\',",', '"\'0.0,\',",', '"\'5),\',",', '"\'(11.111860671483541,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(11.111860671483541,\',",', '"\'0.0,\',",', '"\'7),\',",', '"\'(11.111860671483541,\',",', '"\'0.0,\',",', '"\'8)]\']"]']
1110000111101010110011100 12.0386609699 ['[\'["[\\\'(10.171105267324606,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'7)\\\',",\',', '\'"\\\'(10.611875883915017,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'1)\\\',",\',', '\'"\\\'(11.634172828067602,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'2)\\\',",\',', '\'"\\\'(11.964346578232051,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'8)\\\',",\',', '\'"\\\'(12.265000738142469,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'5)\\\',",\',', '\'"\\\'(12.291123735214155,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'4)\\\',",\',', '\'"\\\'(13.143395520165209,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'3)\\\',",\',', '\'"\\\'(13.209961091768998,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'6)\\\']"]\']']
1101001011110100101111000 13.0404878264 ['["[\'[(8.6593113002436226,\',",', '"\'0.0,\',",', '"\'1),\',",', '"\'(11.900677630993931,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(11.959342917578567,\',",', '"\'0.0,\',",', '"\'2),\',",', '"\'(11.996356339954,\',",', '"\'0.0,\',",', '"\'8),\',",', '"\'(13.776025660036723,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(14.430226388015093,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(17.110102073303391,\',",', '"\'0.0,\',",', '"\'5),\',",', '"\'(17.231000208432825,\',",', '"\'0.0,\',",', '"\'7)]\']"]']
1101001011110100111010110 18.1018147392 ['[(12.56703911675225,', '0.0,', '1),', '(15.550076914091784,', '0.0,', '3),', '(17.418851605720469,', '0.0,', '7),', '(18.235724467827236,', '0.0,', '5),', '(18.368938753816757,', '0.0,', '4),', '(18.383744129539473,', '0.0,', '2),', '(19.011026975627352,', '0.0,', '6),', '(20.495456059560201,', '0.0,', '8)]']
0000101001010100111001101 19.0060067613 ['[\'["[\\\'(17.197225760343159,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'3)\\\',",\',', '\'"\\\'(17.749015864887923,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'1)\\\',",\',', '\'"\\\'(17.996826590926883,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'5)\\\',",\',', '\'"\\\'(18.741470428805794,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'8)\\\',",\',', '\'"\\\'(18.751391105395982,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'2)\\\',",\',', '\'"\\\'(20.534338920045002,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'7)\\\',",\',', '\'"\\\'(21.146942451719568,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'4)\\\',",\',', '\'"\\\'(21.170872613376062,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'6)\\\']"]\']']
0000101001010100010000011 21.9363163347 [(20.970901262945816, 0.0, 5), (21.567661677656126, 0.0, 6), (21.750265994403346, 0.0, 1), (21.787304767347955, 0.0, 3), (22.053009819311733, 0.0, 2), (22.154684757571502, 0.0, 8), (22.178230057129568, 0.0, 7), (22.469038358348811, 0.0, 4)]
1000011110010001111001000 23.5424587203 ['[\'["[\\\'(23.203294865625082,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'4)\\\',",\',', '\'"\\\'(23.242142677985278,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'1)\\\',",\',', '\'"\\\'(23.266458249831143,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'7)\\\',",\',', '\'"\\\'(23.591144763514304,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'2)\\\',",\',', '\'"\\\'(23.618160612365859,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'6)\\\',",\',', '\'"\\\'(23.694071255386191,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'8)\\\',",\',', '\'"\\\'(23.69835277439698,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'3)\\\',",\',', '\'"\\\'(23.713012315848669,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'5)\\\']"]\']']
1111010110010011000110010 23.6449476998 [(23.168827908996317, 0.0, 7), (23.272083391459333, 0.0, 2), (23.315558274998399, 0.0, 8), (23.485744566482236, 0.0, 4), (23.722352917108367, 0.0, 5), (24.056135040765582, 0.0, 1), (24.086955167263181, 0.0, 3), (24.133017897328727, 0.0, 6)]
