0000000000000000000000000 4.38066588441 ['["[\'[(3.5982590254769362,\',",', '"\'0.0,\',",', '"\'3),\',",', '"\'(3.994639264846946,\',",', '"\'0.0,\',",', '"\'2),\',",', '"\'(3.9995311196149204,\',",', '"\'0.0,\',",', '"\'6),\',",', '"\'(4.2366008593580391,\',",', '"\'0.0,\',",', '"\'5),\',",', '"\'(4.5365360501227681,\',",', '"\'0.0,\',",', '"\'7),\',",', '"\'(4.7499955085592918,\',",', '"\'0.0,\',",', '"\'4),\',",', '"\'(4.7577631152491362,\',",', '"\'0.0,\',",', '"\'8),\',",', '"\'(4.809433607113613,\',",', '"\'0.0,\',",', '"\'1)]\']"]']
0000000000000000000000000 4.44364749628 ["['[(3.4922300887866924,',", "'0.0,',", "'3),',", "'(3.733287303935743,',", "'0.0,',", "'5),',", "'(4.2291152821540914,',", "'0.0,',", "'1),',", "'(4.3070631906023937,',", "'0.0,',", "'2),',", "'(4.588000339822349,',", "'0.0,',", "'4),',", "'(4.6504111725411992,',", "'0.0,',", "'8),',", "'(4.7623488363866207,',", "'0.0,',", "'6),',", "'(4.8645119986790135,',", "'0.0,',", "'7)]']"]
0000000000000000000000000 4.63389732346 [(3.7351642472002924, 0.0, 8), (4.1128037051468, 0.0, 7), (4.3016798764603612, 0.0, 4), (4.6838675832960623, 0.0, 5), (4.7035762501668117, 0.0, 1), (4.8464655839053323, 0.0, 6), (4.8844206910325871, 0.0, 2), (4.9891879841750342, 0.0, 3)]
0000000000000000000000000 4.65105370107 [(3.3167230756205006, 0.0, 7), (3.6383558662223781, 0.0, 4), (4.2174325218322597, 0.0, 1), (4.7235147627619538, 0.0, 2), (4.8227957840533682, 0.0, 3), (4.8404717356405271, 0.0, 8), (4.8516728286711706, 0.0, 6), (4.8817397174950985, 0.0, 5)]
0000000000000000000000000 4.67422855838 ['[(3.6302156222654998,', '0.0,', '3),', '(4.3318592616404601,', '0.0,', '2),', '(4.53106904452578,', '0.0,', '6),', '(4.554639137490649,', '0.0,', '1),', '(4.7980851405786877,', '0.0,', '5),', '(4.8131209109235895,', '0.0,', '8),', '(4.8775894346870228,', '0.0,', '7),', '(4.9891914705062392,', '0.0,', '4)]']
0000000000000000000000000 4.83648592189 ['[(3.6731208353729419,', '0.0,', '4),', '(4.6138486747068921,', '0.0,', '8),', '(4.7220532465337328,', '0.0,', '6),', '(4.8367773239933163,', '0.0,', '3),', '(4.8841859063406501,', '0.0,', '2),', '(4.9029272107028623,', '0.0,', '5),', '(4.9062326106035448,', '0.0,', '1),', '(4.9892624666257488,', '0.0,', '7)]']
1001110101000101001100000 5.40006050186 ['[(5.2856951445373115,', '0.0,', '7),', '(5.3204976379118021,', '0.0,', '3),', '(5.3292664889874084,', '0.0,', '8),', '(5.4069838473033487,', '0.0,', '2),', '(5.4273010852950296,', '0.0,', '6),', '(5.4366905858610624,', '0.0,', '1),', '(5.474067452758713,', '0.0,', '4),', '(5.4930484675204161,', '0.0,', '5)]']
1001110101000101001100000 5.41122662227 [(5.2882984083373472, 0.0, 1), (5.3234791761097133, 0.0, 2), (5.4100669117250311, 0.0, 5), (5.4107420657378107, 0.0, 8), (5.4115541465277612, 0.0, 6), (5.4125433650844323, 0.0, 3), (5.4708718124783431, 0.0, 7), (5.4748492104144875, 0.0, 4)]
1001110101000101001101010 10.2890794491 ['[\'["[\\\'[(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'1),\\\',",\',', '\'"\\\'(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'2),\\\',",\',', '\'"\\\'(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'3),\\\',",\',', '\'"\\\'(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'4),\\\',",\',', '\'"\\\'(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'5),\\\',",\',', '\'"\\\'(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'6),\\\',",\',', '\'"\\\'(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'7),\\\',",\',', '\'"\\\'(10.289079449107092,\\\',",\',', '\'"\\\'0.0,\\\',",\',', '\'"\\\'8)]\\\']"]\']']
1001110101000101001101010 10.2890794491 [(10.289079449107092, 0.0, 1), (10.289079449107092, 0.0, 2), (10.289079449107092, 0.0, 3), (10.289079449107092, 0.0, 4), (10.289079449107092, 0.0, 5), (10.289079449107092, 0.0, 6), (10.289079449107092, 0.0, 7), (10.289079449107092, 0.0, 8)]
0000000000001000000000000 10.8359684142 [(9.5559996310844539, 0.0, 7), (9.801321835968233, 0.0, 8), (10.464740131806618, 0.0, 5), (10.692354254355577, 0.0, 6), (10.942960745776469, 0.0, 1), (11.243818525040108, 0.0, 2), (11.25751282166356, 0.0, 3), (11.273669742233626, 0.0, 4)]
